"date","home_team","away_team","team","scorer","minute","own_goal","penalty"
"2003-09-06","Netherlands","Austria","Netherlands","Phillip Cocu",62,false,false
"2003-09-06","North Macedonia","England","North Macedonia","Gjorgji Hristov",28,false,false
"2003-09-06","North Macedonia","England","England","Wayne Rooney",52,false,false
"2003-09-06","North Macedonia","England","England","David Beckham",63,false,true
"2003-09-06","Romania","Luxembourg","Romania","Adrian Mutu",38,false,false
"2003-09-06","Romania","Luxembourg","Romania","Daniel Pancu",40,false,false
"2003-09-06","Romania","Luxembourg","Romania","Ionel Ganea",43,false,false
"2003-09-06","Romania","Luxembourg","Romania","Florin Bratu",77,false,false
"2003-09-06","Scotland","Faroe Islands","Scotland","Neil McCann",8,false,false
"2003-09-06","Scotland","Faroe Islands","Faroe Islands","Julian Johnsson",35,false,false
"2003-09-06","Scotland","Faroe Islands","Scotland","Paul Dickov",45,false,false
"2003-09-06","Scotland","Faroe Islands","Scotland","James McFadden",73,false,false
"2003-09-06","Sweden","San Marino","Sweden","Mattias Jonson",32,false,false
"2003-09-06","Sweden","San Marino","Sweden","Andreas Jakobsson",48,false,false
"2003-09-06","Sweden","San Marino","Sweden","Zlatan Ibrahimović",53,false,false
"2003-09-06","Sweden","San Marino","Sweden","Kim Källström",66,false,true
"2003-09-06","Sweden","San Marino","Sweden","Zlatan Ibrahimović",81,false,true
"2003-09-10","Albania","Georgia","Albania","Besnik Hasi",51,false,false
"2003-09-10","Albania","Georgia","Albania","Igli Tare",53,false,false
"2003-09-10","Albania","Georgia","Georgia","Shota Arveladze",64,false,false
"2003-09-10","Albania","Georgia","Albania","Alban Bushi",80,false,false
"2003-09-10","Andorra","Bulgaria","Bulgaria","Dimitar Berbatov",11,false,false
"2003-09-10","Andorra","Bulgaria","Bulgaria","Dimitar Berbatov",24,false,false
"2003-09-10","Andorra","Bulgaria","Bulgaria","Marian Hristov",58,false,false
"2003-09-10","Belgium","Croatia","Belgium","Wesley Sonck",35,false,false
"2003-09-10","Belgium","Croatia","Croatia","Dario Šimić",37,false,false
"2003-09-10","Belgium","Croatia","Belgium","Wesley Sonck",43,false,false
"2003-09-10","Czech Republic","Netherlands","Czech Republic","Jan Koller",14,false,true
"2003-09-10","Czech Republic","Netherlands","Czech Republic","Karel Poborský",37,false,false
"2003-09-10","Czech Republic","Netherlands","Netherlands","Rafael van der Vaart",60,false,false
"2003-09-10","Czech Republic","Netherlands","Czech Republic","Milan Baroš",90,false,false
"2003-09-10","Denmark","Romania","Denmark","Jon Dahl Tomasson",35,false,true
"2003-09-10","Denmark","Romania","Romania","Adrian Mutu",62,false,false
"2003-09-10","Denmark","Romania","Romania","Daniel Pancu",72,false,false
"2003-09-10","Denmark","Romania","Denmark","Martin Laursen",90,false,false
"2003-09-10","England","Liechtenstein","England","Michael Owen",46,false,false
"2003-09-10","England","Liechtenstein","England","Wayne Rooney",52,false,false
"2003-09-10","Faroe Islands","Lithuania","Lithuania","Igoris Morinas",22,false,false
"2003-09-10","Faroe Islands","Lithuania","Faroe Islands","Súni Olsen",42,false,false
"2003-09-10","Faroe Islands","Lithuania","Lithuania","Igoris Morinas",57,false,false
"2003-09-10","Faroe Islands","Lithuania","Lithuania","Donatas Vencevicius",88,false,false
"2003-09-10","Latvia","Hungary","Latvia","Māris Verpakovskis",38,false,false
"2003-09-10","Latvia","Hungary","Latvia","Imants Bleidelis",43,false,false
"2003-09-10","Latvia","Hungary","Latvia","Māris Verpakovskis",51,false,false
"2003-09-10","Latvia","Hungary","Hungary","Krisztián Lisztes",53,false,false
"2003-09-10","Luxembourg","Bosnia and Herzegovina","Bosnia and Herzegovina","Sergej Barbarez",35,false,false
"2003-09-10","Moldova","Belarus","Moldova","Serghei Dadu",26,false,false
"2003-09-10","Moldova","Belarus","Moldova","Serghei Covalciuc",87,false,false
"2003-09-10","Moldova","Belarus","Belarus","Raman Vasilyuk",90,false,true
"2003-09-10","Northern Ireland","Armenia","Armenia","Arman Karamyan",27,false,false
"2003-09-10","Poland","Sweden","Sweden","Mikael Nilsson",3,false,false
"2003-09-10","Poland","Sweden","Sweden","Olof Mellberg",38,false,false
"2003-09-10","Serbia","Italy","Italy","Filippo Inzaghi",22,false,false
"2003-09-10","Serbia","Italy","Serbia","Saša Ilić",82,false,false
"2003-09-10","Slovakia","North Macedonia","Slovakia","Szilárd Németh",25,false,false
"2003-09-10","Slovakia","North Macedonia","North Macedonia","Dragan Dimitrovski",62,false,false
"2003-09-10","Slovenia","France","France","David Trezeguet",9,false,false
"2003-09-10","Slovenia","France","France","Olivier Dacourt",71,false,false
"2003-09-10","Spain","Ukraine","Spain","Raúl",59,false,false
"2003-09-10","Spain","Ukraine","Spain","Raúl",71,false,false
"2003-09-10","Spain","Ukraine","Ukraine","Andriy Shevchenko",84,false,false
"2003-09-10","Wales","Finland","Wales","Simon Davies",3,false,false
"2003-09-10","Wales","Finland","Finland","Mikael Forssell",79,false,false
"2003-10-11","Armenia","Spain","Spain","Juan Carlos Valerón",7,false,false
"2003-10-11","Armenia","Spain","Spain","Raúl",76,false,false
"2003-10-11","Armenia","Spain","Spain","José Antonio Reyes",87,false,false
"2003-10-11","Armenia","Spain","Spain","José Antonio Reyes",90,false,false
"2003-10-11","Austria","Czech Republic","Czech Republic","Marek Jankulovski",26,false,false
"2003-10-11","Austria","Czech Republic","Austria","Mario Haas",49,false,false
"2003-10-11","Austria","Czech Republic","Austria","Andreas Ivanschitz",77,false,false
"2003-10-11","Austria","Czech Republic","Czech Republic","Štěpán Vachoušek",78,false,false
"2003-10-11","Austria","Czech Republic","Czech Republic","Jan Koller",90,false,false
"2003-10-11","Belgium","Estonia","Belgium","Raio Piiroja",41,true,false
"2003-10-11","Belgium","Estonia","Belgium","Thomas Buffel",60,false,false
"2003-10-11","Bosnia and Herzegovina","Denmark","Denmark","Martin Jørgensen",12,false,false
"2003-10-11","Bosnia and Herzegovina","Denmark","Bosnia and Herzegovina","Elvir Bolić",39,false,false
"2003-10-11","Croatia","Bulgaria","Croatia","Ivica Olić",48,false,false
"2003-10-11","Cyprus","Slovenia","Slovenia","Ermin Šiljak",11,false,false
"2003-10-11","Cyprus","Slovenia","Slovenia","Ermin Šiljak",41,false,false
"2003-10-11","Cyprus","Slovenia","Cyprus","Stavros Georgiou",71,false,false
"2003-10-11","Cyprus","Slovenia","Cyprus","Yiasoumis Yiasoumi",81,false,false
"2003-10-11","Greece","Northern Ireland","Greece","Vassilios Tsiartas",69,false,true
"2003-10-11","Hungary","Poland","Poland","Andrzej Niedzielan",10,false,false
"2003-10-11","Hungary","Poland","Hungary","Imre Szabics",48,false,false
"2003-10-11","Hungary","Poland","Poland","Andrzej Niedzielan",63,false,false
"2003-10-11","Italy","Azerbaijan","Italy","Christian Vieri",16,false,false
"2003-10-11","Italy","Azerbaijan","Italy","Filippo Inzaghi",24,false,false
"2003-10-11","Italy","Azerbaijan","Italy","Marco Di Vaio",64,false,false
"2003-10-11","Italy","Azerbaijan","Italy","Filippo Inzaghi",87,false,false
"2003-10-11","Liechtenstein","Slovakia","Slovakia","Róbert Vittek",40,false,false
"2003-10-11","Liechtenstein","Slovakia","Slovakia","Róbert Vittek",56,false,false
"2003-10-11","Netherlands","Moldova","Netherlands","Patrick Kluivert",43,false,false
"2003-10-11","Netherlands","Moldova","Netherlands","Wesley Sneijder",50,false,false
"2003-10-11","Netherlands","Moldova","Netherlands","Pierre van Hooijdonk",73,false,true
"2003-10-11","Netherlands","Moldova","Netherlands","Rafael van der Vaart",79,false,false
"2003-10-11","Netherlands","Moldova","Netherlands","Arjen Robben",88,false,false
"2003-10-11","Norway","Luxembourg","Norway","Tore André Flo",18,false,false
"2003-10-11","Scotland","Lithuania","Scotland","Darren Fletcher",70,false,false
"2003-10-11","Sweden","Latvia","Latvia","Māris Verpakovskis",22,false,false
"2003-10-11","Switzerland","Republic of Ireland","Switzerland","Hakan Yakin",6,false,false
"2003-10-11","Switzerland","Republic of Ireland","Switzerland","Alexander Frei",60,false,false
"2003-10-11","Wales","Serbia","Serbia","Zvonimir Vukić",6,false,false
"2003-10-11","Wales","Serbia","Wales","John Hartson",26,false,true
"2003-10-11","Wales","Serbia","Serbia","Savo Milošević",82,false,false
"2003-10-11","Wales","Serbia","Serbia","Danijel Ljuboja",88,false,false
"2003-10-11","Wales","Serbia","Wales","Robert Earnshaw",90,false,false
"2003-11-15","Croatia","Slovenia","Croatia","Dado Pršo",5,false,false
"2003-11-15","Croatia","Slovenia","Slovenia","Ermin Šiljak",22,false,false
"2003-11-15","Latvia","Turkey","Latvia","Māris Verpakovskis",29,false,false
"2003-11-15","Scotland","Netherlands","Scotland","James McFadden",22,false,false
"2003-11-15","Spain","Norway","Norway","Steffen Iversen",15,false,false
"2003-11-15","Spain","Norway","Spain","Raúl",21,false,false
"2003-11-15","Spain","Norway","Spain","Henning Berg",85,true,false
"2003-11-19","Netherlands","Scotland","Netherlands","Wesley Sneijder",13,false,false
"2003-11-19","Netherlands","Scotland","Netherlands","André Ooijer",32,false,false
"2003-11-19","Netherlands","Scotland","Netherlands","Ruud van Nistelrooy",37,false,false
"2003-11-19","Netherlands","Scotland","Netherlands","Ruud van Nistelrooy",51,false,false
"2003-11-19","Netherlands","Scotland","Netherlands","Frank de Boer",65,false,false
"2003-11-19","Netherlands","Scotland","Netherlands","Ruud van Nistelrooy",67,false,false
"2003-11-19","Norway","Spain","Spain","Raúl",34,false,false
"2003-11-19","Norway","Spain","Spain","Vicente Rodríguez",49,false,false
"2003-11-19","Norway","Spain","Spain","Joseba Etxeberria",57,false,false
"2003-11-19","Slovenia","Croatia","Croatia","Dado Pršo",61,false,false
"2003-11-19","Turkey","Latvia","Turkey","İlhan Mansız",20,false,false
"2003-11-19","Turkey","Latvia","Turkey","Hakan Şükür",64,false,false
"2003-11-19","Turkey","Latvia","Latvia","Juris Laizāns",66,false,false
"2003-11-19","Turkey","Latvia","Latvia","Māris Verpakovskis",78,false,false
"2004-06-12","Portugal","Greece","Greece","Giorgos Karagounis",7,false,false
"2004-06-12","Portugal","Greece","Greece","Angelos Basinas",51,false,true
"2004-06-12","Portugal","Greece","Portugal","Cristiano Ronaldo",90,false,false
"2004-06-13","France","England","England","Frank Lampard",38,false,false
"2004-06-13","France","England","France","Zinedine Zidane",90,false,false
"2004-06-13","France","England","France","Zinedine Zidane",90,false,true
"2004-06-14","Sweden","Bulgaria","Sweden","Freddie Ljungberg",32,false,false
"2004-06-14","Sweden","Bulgaria","Sweden","Henrik Larsson",57,false,false
"2004-06-14","Sweden","Bulgaria","Sweden","Henrik Larsson",58,false,false
"2004-06-14","Sweden","Bulgaria","Sweden","Zlatan Ibrahimović",78,false,true
"2004-06-14","Sweden","Bulgaria","Sweden","Marcus Allbäck",90,false,false
"2004-06-15","Czech Republic","Latvia","Latvia","Māris Verpakovskis",45,false,false
"2004-06-15","Czech Republic","Latvia","Czech Republic","Milan Baroš",73,false,false
"2004-06-15","Czech Republic","Latvia","Czech Republic","Marek Heinz",85,false,false
"2004-06-16","Greece","Spain","Spain","Fernando Morientes",28,false,false
"2004-06-16","Greece","Spain","Greece","Angelos Charisteas",66,false,false
"2004-06-17","Croatia","France","France","Igor Tudor",22,true,false
"2004-06-17","Croatia","France","Croatia","Milan Rapaić",48,false,true
"2004-06-17","Croatia","France","Croatia","Dado Pršo",52,false,false
"2004-06-17","Croatia","France","France","David Trezeguet",64,false,false
"2004-06-17","England","Switzerland","England","Wayne Rooney",23,false,false
"2004-06-17","England","Switzerland","England","Wayne Rooney",75,false,false
"2004-06-17","England","Switzerland","England","Steven Gerrard",82,false,false
"2004-06-18","Bulgaria","Denmark","Denmark","Jon Dahl Tomasson",44,false,false
"2004-06-18","Bulgaria","Denmark","Denmark","Jesper Grønkjær",90,false,false
"2004-06-18","Italy","Sweden","Italy","Antonio Cassano",37,false,false
"2004-06-18","Italy","Sweden","Sweden","Zlatan Ibrahimović",85,false,false
"2004-06-19","Netherlands","Czech Republic","Netherlands","Wilfred Bouma",4,false,false
"2004-06-19","Netherlands","Czech Republic","Netherlands","Ruud van Nistelrooy",19,false,false
"2004-06-19","Netherlands","Czech Republic","Czech Republic","Jan Koller",23,false,false
"2004-06-19","Netherlands","Czech Republic","Czech Republic","Milan Baroš",71,false,false
"2004-06-19","Netherlands","Czech Republic","Czech Republic","Vladimír Šmicer",88,false,false
"2004-06-20","Portugal","Spain","Portugal","Nuno Gomes",57,false,false
"2004-06-21","Croatia","England","Croatia","Niko Kovač",5,false,false
"2004-06-21","Croatia","England","England","Paul Scholes",40,false,false
"2004-06-21","Croatia","England","England","Wayne Rooney",45,false,false
"2004-06-21","Croatia","England","England","Wayne Rooney",68,false,false
"2004-06-21","Croatia","England","Croatia","Igor Tudor",73,false,false
"2004-06-21","Croatia","England","England","Frank Lampard",79,false,false
"2004-06-21","Switzerland","France","France","Zinedine Zidane",20,false,false
"2004-06-21","Switzerland","France","Switzerland","Johan Vonlanthen",26,false,false
"2004-06-21","Switzerland","France","France","Thierry Henry",76,false,false
"2004-06-21","Switzerland","France","France","Thierry Henry",84,false,false
"2004-06-22","Denmark","Sweden","Denmark","Jon Dahl Tomasson",28,false,false
"2004-06-22","Denmark","Sweden","Sweden","Henrik Larsson",47,false,true
"2004-06-22","Denmark","Sweden","Denmark","Jon Dahl Tomasson",66,false,false
"2004-06-22","Denmark","Sweden","Sweden","Mattias Jonson",89,false,false
"2004-06-22","Italy","Bulgaria","Bulgaria","Martin Petrov",45,false,true
"2004-06-22","Italy","Bulgaria","Italy","Simone Perrotta",48,false,false
"2004-06-22","Italy","Bulgaria","Italy","Antonio Cassano",90,false,false
"2004-06-23","Netherlands","Latvia","Netherlands","Ruud van Nistelrooy",27,false,true
"2004-06-23","Netherlands","Latvia","Netherlands","Ruud van Nistelrooy",35,false,false
"2004-06-23","Netherlands","Latvia","Netherlands","Roy Makaay",84,false,false
"2004-06-24","Portugal","England","England","Michael Owen",3,false,false
"2004-06-24","Portugal","England","Portugal","Hélder Postiga",83,false,false
"2004-06-24","Portugal","England","Portugal","Rui Costa",110,false,false
"2004-06-24","Portugal","England","England","Frank Lampard",115,false,false
"2004-06-25","France","Greece","Greece","Angelos Charisteas",65,false,false
"2004-06-27","Czech Republic","Denmark","Czech Republic","Jan Koller",49,false,false
"2004-06-27","Czech Republic","Denmark","Czech Republic","Milan Baroš",63,false,false
"2004-06-27","Czech Republic","Denmark","Czech Republic","Milan Baroš",65,false,false
"2004-06-30","Portugal","Netherlands","Portugal","Cristiano Ronaldo",26,false,false
"2004-06-30","Portugal","Netherlands","Portugal","Maniche",58,false,false
"2004-06-30","Portugal","Netherlands","Netherlands","Jorge Andrade",63,true,false
"2004-07-01","Greece","Czech Republic","Greece","Traianos Dellas",105,false,false
"2004-07-04","Portugal","Greece","Greece","Angelos Charisteas",57,false,false
"2004-08-18","Liechtenstein","Estonia","Estonia","Kristen Viikmäe",34,false,false
"2004-08-18","Liechtenstein","Estonia","Liechtenstein","Fabio D'Elia",49,false,false
"2004-08-18","Liechtenstein","Estonia","Estonia","Joel Lindpere",80,false,false
"2004-08-18","North Macedonia","Armenia","North Macedonia","Goran Pandev",5,false,false
"2004-08-18","North Macedonia","Armenia","North Macedonia","Artim Šakiri",37,false,false
"2004-08-18","North Macedonia","Armenia","North Macedonia","Veliče Šumulikoski",90,false,false
"2004-08-18","Romania","Finland","Romania","Adrian Mutu",50,false,false
"2004-08-18","Romania","Finland","Romania","Florentin Petre",90,false,false
"2004-08-18","Romania","Finland","Finland","Alexei Eremenko",90,false,false
"2004-08-18","Slovakia","Luxembourg","Luxembourg","Jeff Strasser",2,false,false
"2004-08-18","Slovakia","Luxembourg","Slovakia","Róbert Vittek",26,false,false
"2004-08-18","Slovakia","Luxembourg","Slovakia","Vratislav Greško",48,false,false
"2004-08-18","Slovakia","Luxembourg","Slovakia","Igor Demo",89,false,false
"2004-09-04","Albania","Greece","Albania","Edvin Murati",2,false,false
"2004-09-04","Albania","Greece","Albania","Adrian Aliaj",11,false,false
"2004-09-04","Albania","Greece","Greece","Stelios Giannakopoulos",38,false,false
"2004-09-04","Austria","England","England","Frank Lampard",24,false,false
"2004-09-04","Austria","England","England","Steven Gerrard",65,false,false
"2004-09-04","Austria","England","Austria","Roland Kollmann",71,false,false
"2004-09-04","Austria","England","Austria","Andreas Ivanschitz",72,false,false
"2004-09-04","Azerbaijan","Wales","Wales","Gary Speed",47,false,false
"2004-09-04","Azerbaijan","Wales","Azerbaijan","Rashad Sadygov",55,false,false
"2004-09-04","Belgium","Lithuania","Belgium","Wesley Sonck",61,false,false
"2004-09-04","Belgium","Lithuania","Lithuania","Edgaras Jankauskas",73,false,false
"2004-09-04","Croatia","Hungary","Croatia","Dado Pršo",31,false,false
"2004-09-04","Croatia","Hungary","Croatia","Ivan Klasnić",54,false,false
"2004-09-04","Croatia","Hungary","Croatia","Gábor Gyepes",80,true,false
"2004-09-04","Denmark","Ukraine","Denmark","Martin Jørgensen",9,false,false
"2004-09-04","Denmark","Ukraine","Ukraine","Andriy Husin",56,false,false
"2004-09-04","Estonia","Luxembourg","Estonia","Ingemar Teever",7,false,false
"2004-09-04","Estonia","Luxembourg","Estonia","Manuel Schauls",41,true,false
"2004-09-04","Estonia","Luxembourg","Estonia","Andres Oper",61,false,false
"2004-09-04","Estonia","Luxembourg","Estonia","Kristen Viikmäe",67,false,false
"2004-09-04","Finland","Andorra","Finland","Alexei Eremenko",42,false,false
"2004-09-04","Finland","Andorra","Finland","Aki Riihilahti",58,false,false
"2004-09-04","Finland","Andorra","Finland","Alexei Eremenko",64,false,false
"2004-09-04","Iceland","Bulgaria","Bulgaria","Dimitar Berbatov",35,false,false
"2004-09-04","Iceland","Bulgaria","Bulgaria","Dimitar Berbatov",49,false,false
"2004-09-04","Iceland","Bulgaria","Iceland","Eiður Guðjohnsen",51,false,true
"2004-09-04","Iceland","Bulgaria","Bulgaria","Hristo Yanev",62,false,false
"2004-09-04","Italy","Norway","Norway","John Carew",1,false,false
"2004-09-04","Italy","Norway","Italy","Daniele De Rossi",4,false,false
"2004-09-04","Italy","Norway","Italy","Luca Toni",80,false,false
"2004-09-04","Latvia","Portugal","Portugal","Cristiano Ronaldo",57,false,false
"2004-09-04","Latvia","Portugal","Portugal","Pauleta",58,false,false
"2004-09-04","Malta","Sweden","Sweden","Zlatan Ibrahimović",4,false,false
"2004-09-04","Malta","Sweden","Sweden","Zlatan Ibrahimović",11,false,false
"2004-09-04","Malta","Sweden","Sweden","Zlatan Ibrahimović",14,false,false
"2004-09-04","Malta","Sweden","Sweden","Freddie Ljungberg",46,false,false
"2004-09-04","Malta","Sweden","Sweden","Zlatan Ibrahimović",71,false,false
"2004-09-04","Malta","Sweden","Sweden","Freddie Ljungberg",74,false,false
"2004-09-04","Malta","Sweden","Sweden","Henrik Larsson",76,false,false
"2004-09-04","Northern Ireland","Poland","Poland","Maciej Żurawski",4,false,false
"2004-09-04","Northern Ireland","Poland","Poland","Piotr Włodarczyk",36,false,false
"2004-09-04","Northern Ireland","Poland","Poland","Jacek Krzynówek",56,false,false
"2004-09-04","Republic of Ireland","Cyprus","Republic of Ireland","Clinton Morrison",33,false,false
"2004-09-04","Republic of Ireland","Cyprus","Republic of Ireland","Andy Reid",38,false,false
"2004-09-04","Republic of Ireland","Cyprus","Republic of Ireland","Robbie Keane",54,false,false
"2004-09-04","Romania","North Macedonia","Romania","Daniel Pancu",15,false,false
"2004-09-04","Romania","North Macedonia","North Macedonia","Aleksandar Vasoski",70,false,false
"2004-09-04","Romania","North Macedonia","Romania","Adrian Mutu",88,false,false
"2004-09-04","San Marino","Serbia","Serbia","Zvonimir Vukić",4,false,false
"2004-09-04","San Marino","Serbia","Serbia","Nenad Jestrović",15,false,false
"2004-09-04","San Marino","Serbia","Serbia","Nenad Jestrović",83,false,false
"2004-09-04","Slovenia","Moldova","Slovenia","Milenko Ačimovič",5,false,false
"2004-09-04","Slovenia","Moldova","Slovenia","Milenko Ačimovič",27,false,false
"2004-09-04","Slovenia","Moldova","Slovenia","Milenko Ačimovič",48,false,false
"2004-09-04","Switzerland","Faroe Islands","Switzerland","Johan Vonlanthen",10,false,false
"2004-09-04","Switzerland","Faroe Islands","Switzerland","Johan Vonlanthen",14,false,false
"2004-09-04","Switzerland","Faroe Islands","Switzerland","Alexandre Rey",29,false,false
"2004-09-04","Switzerland","Faroe Islands","Switzerland","Alexandre Rey",44,false,false
"2004-09-04","Switzerland","Faroe Islands","Switzerland","Alexandre Rey",55,false,false
"2004-09-04","Switzerland","Faroe Islands","Switzerland","Johan Vonlanthen",57,false,false
"2004-09-04","Turkey","Georgia","Turkey","Fatih Tekke",49,false,false
"2004-09-04","Turkey","Georgia","Georgia","Malkhaz Asatiani",85,false,false
"2004-09-08","Andorra","Romania","Romania","Florin Cernat",1,false,false
"2004-09-08","Andorra","Romania","Romania","Daniel Pancu",5,false,false
"2004-09-08","Andorra","Romania","Romania","Florin Cernat",17,false,false
"2004-09-08","Andorra","Romania","Andorra","Marc Pujol",28,false,true
"2004-09-08","Andorra","Romania","Romania","Marius Niculae",70,false,false
"2004-09-08","Andorra","Romania","Romania","Daniel Pancu",83,false,false
"2004-09-08","Armenia","Finland","Finland","Mikael Forssell",24,false,false
"2004-09-08","Armenia","Finland","Finland","Alexei Eremenko",67,false,false
"2004-09-08","Austria","Azerbaijan","Austria","Martin Stranzl",23,false,false
"2004-09-08","Austria","Azerbaijan","Austria","Roland Kollmann",44,false,false
"2004-09-08","Bosnia and Herzegovina","Spain","Spain","Vicente Rodríguez",65,false,false
"2004-09-08","Bosnia and Herzegovina","Spain","Bosnia and Herzegovina","Elvir Bolić",79,false,false
"2004-09-08","Faroe Islands","France","France","Ludovic Giuly",32,false,false
"2004-09-08","Faroe Islands","France","France","Djibril Cissé",73,false,false
"2004-09-08","Georgia","Albania","Georgia","Aleksandr Iashvili",15,false,false
"2004-09-08","Georgia","Albania","Georgia","Giorgi Demetradze",90,false,false
"2004-09-08","Hungary","Iceland","Iceland","Eiður Guðjohnsen",39,false,false
"2004-09-08","Hungary","Iceland","Hungary","Zoltán Gera",62,false,false
"2004-09-08","Hungary","Iceland","Hungary","Sándor Torghelle",75,false,false
"2004-09-08","Hungary","Iceland","Iceland","Indriði Sigurðsson",78,false,false
"2004-09-08","Hungary","Iceland","Hungary","Imre Szabics",79,false,false
"2004-09-08","Kazakhstan","Ukraine","Ukraine","Oleksiy Byelik",14,false,false
"2004-09-08","Kazakhstan","Ukraine","Kazakhstan","Andrei Karpovich",34,false,false
"2004-09-08","Kazakhstan","Ukraine","Ukraine","Ruslan Rotan",90,false,false
"2004-09-08","Lithuania","San Marino","Lithuania","Edgaras Jankauskas",18,false,false
"2004-09-08","Lithuania","San Marino","Lithuania","Edgaras Jankauskas",50,false,false
"2004-09-08","Lithuania","San Marino","Lithuania","Tomas Danilevičius",65,false,false
"2004-09-08","Lithuania","San Marino","Lithuania","Andrius Gedgaudas",90,false,false
"2004-09-08","Luxembourg","Latvia","Latvia","Māris Verpakovskis",4,false,false
"2004-09-08","Luxembourg","Latvia","Luxembourg","Gordon Braun",11,false,false
"2004-09-08","Luxembourg","Latvia","Latvia","Mihails Zemļinskis",40,false,true
"2004-09-08","Luxembourg","Latvia","Luxembourg","Alphonse Leweck",55,false,false
"2004-09-08","Luxembourg","Latvia","Luxembourg","Manuel Cardoni",62,false,false
"2004-09-08","Luxembourg","Latvia","Latvia","Eric Hoffmann",65,true,false
"2004-09-08","Luxembourg","Latvia","Latvia","Andrejs Prohorenkovs",67,false,false
"2004-09-08","Moldova","Italy","Italy","Alessandro Del Piero",32,false,false
"2004-09-08","Netherlands","Czech Republic","Netherlands","Pierre van Hooijdonk",34,false,false
"2004-09-08","Netherlands","Czech Republic","Netherlands","Pierre van Hooijdonk",84,false,false
"2004-09-08","Norway","Belarus","Norway","Vidar Riseth",39,false,false
"2004-09-08","Norway","Belarus","Belarus","Vitali Kutuzov",78,false,false
"2004-09-08","Poland","England","England","Jermain Defoe",36,false,false
"2004-09-08","Poland","England","Poland","Maciej Żurawski",47,false,false
"2004-09-08","Poland","England","England","Arkadiusz Głowacki",57,true,false
"2004-09-08","Portugal","Estonia","Portugal","Cristiano Ronaldo",75,false,false
"2004-09-08","Portugal","Estonia","Portugal","Hélder Postiga",83,false,false
"2004-09-08","Portugal","Estonia","Portugal","Pauleta",86,false,false
"2004-09-08","Portugal","Estonia","Portugal","Hélder Postiga",90,false,false
"2004-09-08","Slovakia","Liechtenstein","Slovakia","Róbert Vittek",15,false,false
"2004-09-08","Slovakia","Liechtenstein","Slovakia","Miroslav Karhan",42,false,false
"2004-09-08","Slovakia","Liechtenstein","Slovakia","Róbert Vittek",59,false,false
"2004-09-08","Slovakia","Liechtenstein","Slovakia","Róbert Vittek",81,false,false
"2004-09-08","Slovakia","Liechtenstein","Slovakia","Szilárd Németh",84,false,false
"2004-09-08","Slovakia","Liechtenstein","Slovakia","Marek Mintál",85,false,false
"2004-09-08","Slovakia","Liechtenstein","Slovakia","Radoslav Zabavník",90,false,false
"2004-09-08","Sweden","Croatia","Croatia","Darijo Srna",64,false,false
"2004-09-08","Switzerland","Republic of Ireland","Republic of Ireland","Clinton Morrison",8,false,false
"2004-09-08","Switzerland","Republic of Ireland","Switzerland","Hakan Yakin",17,false,false
"2004-09-08","Wales","Northern Ireland","Northern Ireland","Jeff Whitley",10,false,false
"2004-09-08","Wales","Northern Ireland","Northern Ireland","David Healy",21,false,false
"2004-09-08","Wales","Northern Ireland","Wales","John Hartson",32,false,false
"2004-09-08","Wales","Northern Ireland","Wales","Robert Earnshaw",74,false,false
"2004-10-09","Albania","Denmark","Denmark","Martin Jørgensen",52,false,false
"2004-10-09","Albania","Denmark","Denmark","Jon Dahl Tomasson",72,false,false
"2004-10-09","Austria","Poland","Poland","Radosław Kałużny",10,false,false
"2004-10-09","Austria","Poland","Austria","Markus Schopp",30,false,false
"2004-10-09","Austria","Poland","Poland","Jacek Krzynówek",78,false,false
"2004-10-09","Austria","Poland","Poland","Tomasz Frankowski",90,false,false
"2004-10-09","Belarus","Moldova","Belarus","Sergei Omelyanchuk",45,false,false
"2004-10-09","Belarus","Moldova","Belarus","Vitali Kutuzov",65,false,false
"2004-10-09","Belarus","Moldova","Belarus","Vital Bulyga",75,false,false
"2004-10-09","Belarus","Moldova","Belarus","Maksim Romaschenko",90,false,false
"2004-10-09","Croatia","Bulgaria","Croatia","Darijo Srna",15,false,false
"2004-10-09","Croatia","Bulgaria","Croatia","Darijo Srna",31,false,true
"2004-10-09","Croatia","Bulgaria","Bulgaria","Martin Petrov",77,false,false
"2004-10-09","Croatia","Bulgaria","Bulgaria","Dimitar Berbatov",86,false,false
"2004-10-09","Cyprus","Faroe Islands","Cyprus","Michalis Konstantinou",15,false,false
"2004-10-09","Cyprus","Faroe Islands","Faroe Islands","Claus Bech Jørgensen",21,false,false
"2004-10-09","Cyprus","Faroe Islands","Faroe Islands","Rógvi Jacobsen",43,false,false
"2004-10-09","Cyprus","Faroe Islands","Cyprus","Ioannis Okkas",81,false,false
"2004-10-09","Czech Republic","Romania","Czech Republic","Jan Koller",36,false,false
"2004-10-09","England","Wales","England","Frank Lampard",4,false,false
"2004-10-09","England","Wales","England","David Beckham",76,false,false
"2004-10-09","Finland","Armenia","Finland","Shefki Kuqi",9,false,false
"2004-10-09","Finland","Armenia","Finland","Alexei Eremenko",28,false,false
"2004-10-09","Finland","Armenia","Armenia","Armen Shahgeldyan",32,false,false
"2004-10-09","Finland","Armenia","Finland","Shefki Kuqi",87,false,false
"2004-10-09","Liechtenstein","Portugal","Portugal","Pauleta",23,false,false
"2004-10-09","Liechtenstein","Portugal","Portugal","Daniel Hasler",39,true,false
