"date","home_team","away_team","home_score","away_score","tournament","city","country","neutral","winning_team","draw"
"1984-04-04","England","Northern Ireland",1,0,"British Home Championship","London","England",false,"England",0
"1984-04-04","Turkey","Hungary",0,6,"Friendly","Istanbul","Turkey",false,"Hungary",0
"1984-04-11","Greece","Cyprus",1,1,"Friendly","Athens","Greece",false,"draw",1
"1984-04-11","Spain","Denmark",2,1,"Friendly","Valencia","Spain",false,"Spain",0
"1984-04-17","Poland","Belgium",0,1,"Friendly","Warsaw","Poland",false,"Belgium",0
"1984-04-18","Austria","Greece",0,0,"Friendly","Vienna","Austria",false,"draw",1
"1984-05-01","Luxembourg","Norway",0,2,"Friendly","Ettelbruck","Luxembourg",false,"Norway",0
"1984-05-02","Cyprus","Austria",1,2,"FIFA World Cup qualification","Nicosia","Cyprus",false,"Austria",0
"1984-05-02","Switzerland","Sweden",0,0,"Friendly","Berne","Switzerland",false,"draw",1
"1984-05-02","Wales","England",1,0,"British Home Championship","Wrexham","Wales",false,"Wales",0
"1984-05-22","Wales","Northern Ireland",1,1,"British Home Championship","Swansea","Wales",false,"draw",1
"1984-05-23","Hungary","Norway",0,0,"Friendly","Székesfehérvár","Hungary",false,"draw",1
"1984-05-23","Republic of Ireland","Poland",0,0,"Friendly","Dublin","Republic of Ireland",false,"draw",1
"1984-05-23","Sweden","Malta",4,0,"FIFA World Cup qualification","Norrköping","Sweden",false,"Sweden",0
"1984-05-26","Scotland","England",1,1,"British Home Championship","Glasgow","Scotland",false,"draw",1
"1984-05-26","Switzerland","Spain",0,4,"Friendly","Geneva","Switzerland",false,"Spain",0
"1984-05-27","Finland","Northern Ireland",1,0,"FIFA World Cup qualification","Pori","Finland",false,"Finland",0
"1984-05-31","Hungary","Spain",1,1,"Friendly","Budapest","Hungary",false,"draw",1
"1984-06-01","France","Scotland",2,0,"Friendly","Marseille","France",false,"France",0
"1984-06-06","Belgium","Hungary",2,2,"Friendly","Brussels","Belgium",false,"draw",1
"1984-06-06","Norway","Wales",1,0,"Friendly","Trondheim","Norway",false,"Norway",0
"1984-06-06","Sweden","Denmark",0,1,"Friendly","Gothenburg","Sweden",false,"Denmark",0
"1984-06-07","Liechtenstein","Austria",0,6,"Friendly","Vaduz","Liechtenstein",false,"Austria",0
"1984-06-08","Denmark","Bulgaria",1,1,"Friendly","Copenhagen","Denmark",false,"draw",1
"1984-06-09","Luxembourg","Portugal",1,2,"Friendly","Luxembourg","Luxembourg",false,"Portugal",0
"1984-06-12","France","Denmark",1,0,"UEFA Euro","Paris","France",false,"France",0
"1984-06-14","Romania","Spain",1,1,"UEFA Euro","Saint-Étienne","France",true,"draw",1
"1984-06-16","France","Belgium",5,0,"UEFA Euro","Nantes","France",false,"France",0
"1984-06-17","Portugal","Spain",1,1,"UEFA Euro","Marseille","France",true,"draw",1
"1984-06-19","Denmark","Belgium",3,2,"UEFA Euro","Strasbourg","France",true,"Denmark",0
"1984-06-20","Iceland","Norway",0,1,"Friendly","Reykjavík","Iceland",false,"Norway",0
"1984-06-20","Portugal","Romania",1,0,"UEFA Euro","Nantes","France",true,"Portugal",0
"1984-06-23","France","Portugal",3,2,"UEFA Euro","Marseille","France",false,"France",0
"1984-06-24","Denmark","Spain",1,1,"UEFA Euro","Lyon","France",true,"draw",1
"1984-06-27","France","Spain",2,0,"UEFA Euro","Paris","France",false,"France",0
"1984-08-01","Faroe Islands","Iceland",0,0,"Friendly","Tórshavn","Faroe Islands",false,"draw",1
"1984-08-22","Hungary","Switzerland",3,0,"Friendly","Budapest","Hungary",false,"Hungary",0
"1984-08-29","Norway","Poland",1,1,"Friendly","Drammen","Norway",false,"draw",1
"1984-09-01","Cyprus","Greece",0,2,"Friendly","Limassol","Cyprus",false,"Greece",0
"1984-09-12","Denmark","Austria",3,1,"Friendly","Copenhagen","Denmark",false,"Denmark",0
"1984-09-12","Finland","Poland",0,2,"Friendly","Helsinki","Finland",false,"Poland",0
"1984-09-12","Iceland","Wales",1,0,"FIFA World Cup qualification","Reykjavík","Iceland",false,"Iceland",0
"1984-09-12","Northern Ireland","Romania",3,2,"FIFA World Cup qualification","Belfast","Northern Ireland",false,"Northern Ireland",0
"1984-09-12","Norway","Switzerland",0,1,"FIFA World Cup qualification","Oslo","Norway",false,"Switzerland",0
"1984-09-12","Sweden","Portugal",0,1,"FIFA World Cup qualification","Solna","Sweden",false,"Portugal",0
"1984-09-26","Denmark","Norway",1,0,"FIFA World Cup qualification","Copenhagen","Denmark",false,"Denmark",0
"1984-09-26","Hungary","Austria",3,1,"FIFA World Cup qualification","Budapest","Hungary",false,"Hungary",0
"1984-09-26","Italy","Sweden",1,0,"Friendly","Milan","Italy",false,"Italy",0
"1984-09-26","Poland","Turkey",2,0,"Friendly","Słupsk","Poland",false,"Poland",0
"1984-10-13","Luxembourg","France",0,4,"FIFA World Cup qualification","Luxembourg","Luxembourg",false,"France",0
"1984-10-16","Turkey","Bulgaria",0,0,"Friendly","Istanbul","Turkey",false,"draw",1
"1984-10-17","Belgium","Albania",3,1,"FIFA World Cup qualification","Brussels","Belgium",false,"Belgium",0
"1984-10-17","England","Finland",5,0,"FIFA World Cup qualification","London","England",false,"England",0
"1984-10-17","Netherlands","Hungary",1,2,"FIFA World Cup qualification","Rotterdam","Netherlands",false,"Hungary",0
"1984-10-17","Norway","Republic of Ireland",1,0,"FIFA World Cup qualification","Oslo","Norway",false,"Norway",0
"1984-10-17","Poland","Greece",3,1,"FIFA World Cup qualification","Zabrze","Poland",false,"Poland",0
"1984-10-17","Scotland","Iceland",3,0,"FIFA World Cup qualification","Glasgow","Scotland",false,"Scotland",0
"1984-10-17","Spain","Wales",3,0,"FIFA World Cup qualification","Seville","Spain",false,"Spain",0
"1984-10-17","Switzerland","Denmark",1,0,"FIFA World Cup qualification","Berne","Switzerland",false,"Switzerland",0
"1984-10-31","Poland","Albania",2,2,"FIFA World Cup qualification","Mielec","Poland",false,"draw",1
"1984-10-31","Turkey","Finland",1,2,"FIFA World Cup qualification","Antalya","Turkey",false,"Finland",0
"1984-11-03","Switzerland","Italy",1,1,"Friendly","Lausanne","Switzerland",false,"draw",1
"1984-11-14","Austria","Netherlands",1,0,"FIFA World Cup qualification","Vienna","Austria",false,"Austria",0
"1984-11-14","Denmark","Republic of Ireland",3,0,"FIFA World Cup qualification","Copenhagen","Denmark",false,"Denmark",0
"1984-11-14","Northern Ireland","Finland",2,1,"FIFA World Cup qualification","Belfast","Northern Ireland",false,"Northern Ireland",0
"1984-11-14","Portugal","Sweden",1,3,"FIFA World Cup qualification","Lisbon","Portugal",false,"Sweden",0
"1984-11-14","Scotland","Spain",3,1,"FIFA World Cup qualification","Glasgow","Scotland",false,"Scotland",0
"1984-11-14","Turkey","England",0,8,"FIFA World Cup qualification","Istanbul","Turkey",false,"England",0
"1984-11-14","Wales","Iceland",2,1,"FIFA World Cup qualification","Cardiff","Wales",false,"Wales",0
"1984-11-17","Cyprus","Hungary",1,2,"FIFA World Cup qualification","Limassol","Cyprus",false,"Hungary",0
"1984-11-21","France","Bulgaria",1,0,"FIFA World Cup qualification","Paris","France",false,"France",0
"1984-12-05","Bulgaria","Luxembourg",4,0,"FIFA World Cup qualification","Sofia","Bulgaria",false,"Bulgaria",0
"1984-12-05","Greece","Romania",2,1,"Friendly","Athens","Greece",false,"Greece",0
"1984-12-08","Italy","Poland",2,0,"Friendly","Pescara","Italy",false,"Italy",0
"1984-12-17","Cyprus","Luxembourg",1,0,"Friendly","Nicosia","Cyprus",false,"Cyprus",0
"1984-12-19","Greece","Belgium",0,0,"FIFA World Cup qualification","Athens","Greece",false,"draw",1
"1984-12-22","Albania","Belgium",2,0,"FIFA World Cup qualification","Tirana","Albania",false,"Albania",0
"1984-12-22","Turkey","Luxembourg",1,0,"Friendly","Istanbul","Turkey",false,"Turkey",0
"1984-12-23","Cyprus","Netherlands",0,1,"FIFA World Cup qualification","Nicosia","Cyprus",false,"Netherlands",0
"1985-01-23","Spain","Finland",3,1,"Friendly","Alicante","Spain",false,"Spain",0
"1985-01-30","Portugal","Romania",2,3,"Friendly","Lisbon","Portugal",false,"Romania",0
"1985-02-05","Bulgaria","Switzerland",1,0,"Friendly","Querétaro","Mexico",true,"Bulgaria",0
"1985-02-05","Republic of Ireland","Italy",1,2,"Friendly","Dublin","Republic of Ireland",false,"Italy",0
"1985-02-06","Bulgaria","Poland",2,2,"Friendly","Querétaro","Mexico",true,"draw",1
"1985-02-10","Malta","Portugal",1,3,"FIFA World Cup qualification","Attard","Malta",false,"Portugal",0
"1985-02-26","Wales","Norway",1,1,"Friendly","Wrexham","Wales",false,"draw",1
"1985-02-27","Greece","Albania",2,0,"FIFA World Cup qualification","Athens","Greece",false,"Greece",0
"1985-02-27","Netherlands","Cyprus",7,1,"FIFA World Cup qualification","Amsterdam","Netherlands",false,"Netherlands",0
"1985-02-27","Northern Ireland","England",0,1,"FIFA World Cup qualification","Belfast","Northern Ireland",false,"England",0
"1985-02-27","Spain","Scotland",1,0,"FIFA World Cup qualification","Seville","Spain",false,"Spain",0
"1985-03-13","Greece","Italy",0,0,"Friendly","Athens","Greece",false,"draw",1
"1985-03-26","England","Republic of Ireland",2,1,"Friendly","London","England",false,"England",0
"1985-03-27","Belgium","Greece",2,0,"FIFA World Cup qualification","Brussels","Belgium",false,"Belgium",0
"1985-03-27","Romania","Poland",0,0,"Friendly","Sibiu","Romania",false,"draw",1
"1985-03-27","Scotland","Wales",0,1,"FIFA World Cup qualification","Glasgow","Scotland",false,"Wales",0
"1985-03-27","Spain","Northern Ireland",0,0,"Friendly","Palma de Mallorca","Spain",false,"draw",1
"1985-03-28","Albania","Turkey",0,0,"Friendly","Tirana","Albania",false,"draw",1
"1985-04-03","Hungary","Cyprus",2,0,"FIFA World Cup qualification","Budapest","Hungary",false,"Hungary",0
"1985-04-03","Italy","Portugal",2,0,"Friendly","Ascoli Piceno","Italy",false,"Italy",0
"1985-04-03","Romania","Turkey",3,0,"FIFA World Cup qualification","Craiova","Romania",false,"Romania",0
"1985-04-17","Austria","Hungary",0,3,"FIFA World Cup qualification","Vienna","Austria",false,"Hungary",0
"1985-04-17","Poland","Finland",2,1,"Friendly","Opole","Poland",false,"Poland",0
"1985-04-24","Luxembourg","Iceland",0,0,"Friendly","Ettelbruck","Luxembourg",false,"draw",1
"1985-04-30","Wales","Spain",3,0,"FIFA World Cup qualification","Wrexham","Wales",false,"Wales",0
"1985-05-01","Belgium","Poland",2,0,"FIFA World Cup qualification","Brussels","Belgium",false,"Belgium",0
"1985-05-01","Republic of Ireland","Norway",0,0,"FIFA World Cup qualification","Dublin","Republic of Ireland",false,"draw",1
"1985-05-01","Netherlands","Austria",1,1,"FIFA World Cup qualification","Rotterdam","Netherlands",false,"draw",1
"1985-05-01","Northern Ireland","Turkey",2,0,"FIFA World Cup qualification","Belfast","Northern Ireland",false,"Northern Ireland",0
"1985-05-01","Romania","England",0,0,"FIFA World Cup qualification","Bucharest","Romania",false,"draw",1
"1985-05-02","Bulgaria","France",2,0,"FIFA World Cup qualification","Sofia","Bulgaria",false,"Bulgaria",0
"1985-05-07","Austria","Cyprus",4,0,"FIFA World Cup qualification","Graz","Austria",false,"Austria",0
"1985-05-14","Hungary","Netherlands",0,1,"FIFA World Cup qualification","Budapest","Hungary",false,"Netherlands",0
"1985-05-19","Greece","Poland",1,4,"FIFA World Cup qualification","Athens","Greece",false,"Poland",0
"1985-05-22","Finland","England",1,1,"FIFA World Cup qualification","Helsinki","Finland",false,"draw",1
"1985-05-22","Sweden","Norway",1,0,"Friendly","Gothenburg","Sweden",false,"Sweden",0
"1985-05-25","Scotland","England",1,0,"Rous Cup","Glasgow","Scotland",false,"Scotland",0
"1985-05-26","Republic of Ireland","Spain",0,0,"Friendly","Cork","Republic of Ireland",false,"draw",1
"1985-05-28","Iceland","Scotland",0,1,"FIFA World Cup qualification","Reykjavík","Iceland",false,"Scotland",0
"1985-05-30","Albania","Poland",0,1,"FIFA World Cup qualification","Tirana","Albania",false,"Poland",0
"1985-06-02","Republic of Ireland","Switzerland",3,0,"FIFA World Cup qualification","Dublin","Republic of Ireland",false,"Republic of Ireland",0
"1985-06-05","Norway","Wales",4,2,"Friendly","Bergen","Norway",false,"Norway",0
"1985-06-06","England","Italy",1,2,"Friendly","Mexico City","Mexico",true,"Italy",0
"1985-06-06","Finland","Romania",1,1,"FIFA World Cup qualification","Helsinki","Finland",false,"draw",1
"1985-06-12","Iceland","Spain",1,2,"FIFA World Cup qualification","Reykjavík","Iceland",false,"Spain",0
"1985-07-10","Iceland","Faroe Islands",9,0,"Friendly","Keflavík","Iceland",false,"Iceland",0
"1985-07-12","Iceland","Faroe Islands",1,0,"Friendly","Akranes","Iceland",false,"Iceland",0
"1985-08-21","Sweden","Poland",1,0,"Friendly","Malmö","Sweden",false,"Sweden",0
"1985-08-28","Romania","Finland",2,0,"FIFA World Cup qualification","Timişoara","Romania",false,"Romania",0
"1985-08-28","Switzerland","Turkey",0,0,"Friendly","St. Gallen","Switzerland",false,"draw",1
"1985-09-04","Netherlands","Bulgaria",1,0,"Friendly","Heerenveen","Netherlands",false,"Netherlands",0
"1985-09-10","Wales","Scotland",1,1,"FIFA World Cup qualification","Cardiff","Wales",false,"draw",1
"1985-09-11","Denmark","Sweden",0,3,"Friendly","Copenhagen","Denmark",false,"Sweden",0
"1985-09-11","England","Romania",1,1,"FIFA World Cup qualification","London","England",false,"draw",1
"1985-09-11","Poland","Belgium",0,0,"FIFA World Cup qualification","Chorzów","Poland",false,"draw",1
"1985-09-11","Switzerland","Republic of Ireland",0,0,"FIFA World Cup qualification","Berne","Switzerland",false,"draw",1
"1985-09-11","Turkey","Northern Ireland",0,0,"FIFA World Cup qualification","İzmir","Turkey",false,"draw",1
"1985-09-25","Finland","Turkey",1,0,"FIFA World Cup qualification","Tampere","Finland",false,"Finland",0
"1985-09-25","Italy","Norway",1,2,"Friendly","Lecce","Italy",false,"Norway",0
"1985-09-25","Luxembourg","Bulgaria",1,3,"FIFA World Cup qualification","Luxembourg","Luxembourg",false,"Bulgaria",0
"1985-09-25","Spain","Iceland",2,1,"FIFA World Cup qualification","Seville","Spain",false,"Spain",0
"1985-10-09","Denmark","Switzerland",0,0,"FIFA World Cup qualification","Copenhagen","Denmark",false,"draw",1
"1985-10-12","Portugal","Malta",3,2,"FIFA World Cup qualification","Lisbon","Portugal",false,"Portugal",0
"1985-10-16","Belgium","Netherlands",1,0,"FIFA World Cup qualification","Brussels","Belgium",false,"Belgium",0
"1985-10-16","England","Turkey",5,0,"FIFA World Cup qualification","London","England",false,"England",0
"1985-10-16","Greece","Bulgaria",0,2,"Friendly","Salonica","Greece",false,"Bulgaria",0
"1985-10-16","Norway","Denmark",1,5,"FIFA World Cup qualification","Oslo","Norway",false,"Denmark",0
"1985-10-16","Romania","Northern Ireland",0,1,"FIFA World Cup qualification","Bucharest","Romania",false,"Northern Ireland",0
"1985-10-16","Wales","Hungary",0,3,"Friendly","Cardiff","Wales",false,"Hungary",0
"1985-10-30","Albania","Greece",1,1,"FIFA World Cup qualification","Tirana","Albania",false,"draw",1
"1985-10-30","France","Luxembourg",6,0,"FIFA World Cup qualification","Paris","France",false,"France",0
"1985-11-13","England","Northern Ireland",0,0,"FIFA World Cup qualification","London","England",false,"draw",1
"1985-11-13","Republic of Ireland","Denmark",1,4,"FIFA World Cup qualification","Dublin","Republic of Ireland",false,"Denmark",0
"1985-11-13","Switzerland","Norway",1,1,"FIFA World Cup qualification","Lucerne","Switzerland",false,"draw",1
"1985-11-13","Turkey","Romania",1,3,"FIFA World Cup qualification","İzmir","Turkey",false,"Romania",0
"1985-11-16","Poland","Italy",1,0,"Friendly","Chorzów","Poland",false,"Poland",0
"1985-11-17","Malta","Sweden",1,2,"FIFA World Cup qualification","Attard","Malta",false,"Sweden",0
"1985-11-20","Netherlands","Belgium",2,1,"FIFA World Cup qualification","Rotterdam","Netherlands",false,"Netherlands",0
"1985-11-20","Spain","Austria",0,0,"Friendly","Zaragoza","Spain",false,"draw",1
"1985-12-11","Turkey","Poland",1,1,"Friendly","Adana","Turkey",false,"draw",1
"1985-12-18","Spain","Bulgaria",2,0,"Friendly","Valencia","Spain",false,"Spain",0
"1986-01-22","Portugal","Finland",1,1,"Friendly","Leiria","Portugal",false,"draw",1
"1986-02-05","Portugal","Luxembourg",2,0,"Friendly","Portimão","Portugal",false,"Portugal",0
"1986-02-19","Greece","Cyprus",0,0,"Friendly","Athens","Greece",false,"draw",1
"1986-02-19","Spain","Belgium",3,0,"Friendly","Elche","Spain",false,"Spain",0
"1986-02-26","France","Northern Ireland",0,0,"Friendly","Paris","France",false,"draw",1
"1986-03-12","Turkey","Switzerland",1,0,"Friendly","Adana","Turkey",false,"Turkey",0
"1986-03-26","Republic of Ireland","Wales",0,1,"Friendly","Dublin","Republic of Ireland",false,"Wales",0
"1986-03-26","Italy","Austria",2,1,"Friendly","Udine","Italy",false,"Italy",0
"1986-03-26","Northern Ireland","Denmark",1,1,"Friendly","Belfast","Northern Ireland",false,"draw",1
"1986-03-26","Scotland","Romania",3,0,"Friendly","Glasgow","Scotland",false,"Scotland",0
"1986-03-26","Spain","Poland",3,0,"Friendly","Cádiz","Spain",false,"Spain",0
"1986-04-09","Bulgaria","Denmark",3,0,"Friendly","Sofia","Bulgaria",false,"Bulgaria",0
"1986-04-23","Belgium","Bulgaria",2,0,"Friendly","Brussels","Belgium",false,"Belgium",0
"1986-04-23","England","Scotland",2,1,"Rous Cup","London","England",false,"England",0
"1986-04-29","Netherlands","Scotland",0,0,"Friendly","Eindhoven","Netherlands",false,"draw",1
"1986-05-01","Sweden","Greece",0,0,"Friendly","Malmö","Sweden",false,"draw",1
"1986-05-13","Norway","Denmark",1,0,"Friendly","Oslo","Norway",false,"Norway",0
"1986-05-14","Austria","Sweden",1,0,"Friendly","Salzburg","Austria",false,"Austria",0
"1986-05-16","Denmark","Poland",1,0,"Friendly","Copenhagen","Denmark",false,"Denmark",0
"1986-05-25","Iceland","Republic of Ireland",1,2,"Friendly","Reykjavík","Iceland",false,"Republic of Ireland",0
"1986-05-31","Bulgaria","Italy",1,1,"FIFA World Cup","Mexico City","Mexico",true,"draw",1
"1986-06-03","Portugal","England",1,0,"FIFA World Cup","Monterrey","Mexico",true,"Portugal",0
"1986-06-04","Romania","Norway",3,1,"Friendly","Bucharest","Romania",false,"Romania",0
"1986-06-04","Scotland","Denmark",0,1,"FIFA World Cup","Nezahualcóyotl","Mexico",true,"Denmark",0
"1986-06-07","Northern Ireland","Spain",1,2,"FIFA World Cup","Guadalajara","Mexico",true,"Spain",0
"1986-06-07","Poland","Portugal",1,0,"FIFA World Cup","Monterrey","Mexico",true,"Poland",0
"1986-06-09","Hungary","France",0,3,"FIFA World Cup","León","Mexico",true,"France",0
"1986-06-11","England","Poland",3,0,"FIFA World Cup","Monterrey","Mexico",true,"England",0
"1986-06-17","Italy","France",0,2,"FIFA World Cup","Mexico City","Mexico",true,"France",0
"1986-06-18","Denmark","Spain",1,5,"FIFA World Cup","Querétaro","Mexico",true,"Spain",0
"1986-06-22","Spain","Belgium",1,1,"FIFA World Cup","Puebla","Mexico",true,"draw",1
"1986-06-28","France","Belgium",4,2,"FIFA World Cup","Puebla","Mexico",true,"France",0
"1986-08-06","Finland","Sweden",1,3,"Friendly","Helsinki","Finland",false,"Sweden",0
"1986-08-19","Switzerland","France",2,0,"Friendly","Lausanne","Switzerland",false,"Switzerland",0
"1986-08-20","Norway","Romania",2,2,"Friendly","Oslo","Norway",false,"draw",1
"1986-08-27","Austria","Switzerland",1,1,"Friendly","Innsbruck","Austria",false,"draw",1
"1986-09-09","Norway","Hungary",0,0,"Friendly","Oslo","Norway",false,"draw",1
"1986-09-10","Belgium","Republic of Ireland",2,2,"UEFA Euro qualification","Brussels","Belgium",false,"draw",1
"1986-09-10","Finland","Wales",1,1,"UEFA Euro qualification","Helsinki","Finland",false,"draw",1
"1986-09-10","Iceland","France",0,0,"UEFA Euro qualification","Reykjavík","Iceland",false,"draw",1
"1986-09-10","Romania","Austria",4,0,"UEFA Euro qualification","Bucharest","Romania",false,"Romania",0
"1986-09-10","Scotland","Bulgaria",0,0,"UEFA Euro qualification","Glasgow","Scotland",false,"draw",1
"1986-09-10","Sweden","England",1,0,"Friendly","Solna","Sweden",false,"Sweden",0
"1986-09-24","Spain","Greece",3,1,"Friendly","Gijón","Spain",false,"Spain",0
"1986-09-24","Sweden","Switzerland",2,0,"UEFA Euro qualification","Solna","Sweden",false,"Sweden",0
"1986-10-08","Italy","Greece",2,0,"Friendly","Bologna","Italy",false,"Italy",0
"1986-10-12","Portugal","Sweden",1,1,"UEFA Euro qualification","Oeiras","Portugal",false,"draw",1
"1986-10-14","Luxembourg","Belgium",0,6,"UEFA Euro qualification","Luxembourg","Luxembourg",false,"Belgium",0
"1986-10-15","Austria","Albania",3,0,"UEFA Euro qualification","Graz","Austria",false,"Austria",0
"1986-10-15","England","Northern Ireland",3,0,"UEFA Euro qualification","London","England",false,"England",0
"1986-10-15","Hungary","Netherlands",0,1,"UEFA Euro qualification","Budapest","Hungary",false,"Netherlands",0
"1986-10-15","Republic of Ireland","Scotland",0,0,"UEFA Euro qualification","Dublin","Republic of Ireland",false,"draw",1
"1986-10-15","Poland","Greece",2,1,"UEFA Euro qualification","Poznań","Poland",false,"Poland",0
"1986-10-29","Denmark","Finland",1,0,"UEFA Euro qualification","Copenhagen","Denmark",false,"Denmark",0
"1986-10-29","Switzerland","Portugal",1,1,"UEFA Euro qualification","Berne","Switzerland",false,"draw",1
"1986-11-12","Greece","Hungary",2,1,"UEFA Euro qualification","Athens","Greece",false,"Greece",0
"1986-11-12","Poland","Republic of Ireland",1,0,"Friendly","Warsaw","Poland",false,"Poland",0
"1986-11-12","Scotland","Luxembourg",3,0,"UEFA Euro qualification","Glasgow","Scotland",false,"Scotland",0
"1986-11-12","Spain","Romania",1,0,"UEFA Euro qualification","Seville","Spain",false,"Spain",0
"1986-11-12","Turkey","Northern Ireland",0,0,"UEFA Euro qualification","İzmir","Turkey",false,"draw",1
"1986-11-15","Italy","Switzerland",3,2,"UEFA Euro qualification","Milan","Italy",false,"Italy",0
"1986-11-16","Malta","Sweden",0,5,"UEFA Euro qualification","Attard","Malta",false,"Sweden",0
"1986-11-19","Belgium","Bulgaria",1,1,"UEFA Euro qualification","Brussels","Belgium",false,"draw",1
"1986-11-19","Netherlands","Poland",0,0,"UEFA Euro qualification","Amsterdam","Netherlands",false,"draw",1
"1986-12-03","Albania","Spain",1,2,"UEFA Euro qualification","Tirana","Albania",false,"Spain",0
"1986-12-03","Cyprus","Greece",2,4,"UEFA Euro qualification","Nicosia","Cyprus",false,"Greece",0
"1986-12-06","Malta","Italy",0,2,"UEFA Euro qualification","Attard","Malta",false,"Italy",0
"1986-12-21","Cyprus","Netherlands",0,2,"UEFA Euro qualification","Limassol","Cyprus",false,"Netherlands",0
"1987-01-07","Portugal","Greece",1,1,"Friendly","Portalegre","Portugal",false,"draw",1
"1987-01-14","Greece","Cyprus",3,1,"UEFA Euro qualification","Athens","Greece",false,"Greece",0
"1987-01-21","Spain","Netherlands",1,1,"Friendly","Barcelona","Spain",false,"draw",1
"1987-01-24","Italy","Malta",5,0,"UEFA Euro qualification","Bergamo","Italy",false,"Italy",0
"1987-02-04","Portugal","Belgium",1,0,"Friendly","Braga","Portugal",false,"Portugal",0
"1987-02-08","Cyprus","Hungary",0,1,"UEFA Euro qualification","Nicosia","Cyprus",false,"Hungary",0
"1987-02-14","Portugal","Italy",0,1,"UEFA Euro qualification","Oeiras","Portugal",false,"Italy",0
"1987-02-18","Scotland","Republic of Ireland",0,1,"UEFA Euro qualification","Glasgow","Scotland",false,"Republic of Ireland",0
"1987-02-18","Spain","England",2,4,"Friendly","Madrid","Spain",false,"England",0
"1987-03-04","Turkey","Romania",1,3,"Friendly","Ankara","Turkey",false,"Romania",0
"1987-03-11","Greece","Romania",1,1,"Friendly","Piraeus","Greece",false,"draw",1
"1987-03-18","Poland","Finland",3,1,"Friendly","Rybnik","Poland",false,"Poland",0
"1987-03-24","Poland","Norway",4,1,"Friendly","Wrocław","Poland",false,"Poland",0
"1987-03-25","Netherlands","Greece",1,1,"UEFA Euro qualification","Rotterdam","Netherlands",false,"draw",1
"1987-03-25","Romania","Albania",5,1,"UEFA Euro qualification","Bucharest","Romania",false,"Romania",0
"1987-03-29","Portugal","Malta",2,2,"UEFA Euro qualification","Funchal","Portugal",false,"draw",1
"1987-04-01","Austria","Spain",2,3,"UEFA Euro qualification","Vienna","Austria",false,"Spain",0
"1987-04-01","Belgium","Scotland",4,1,"UEFA Euro qualification","Brussels","Belgium",false,"Belgium",0
"1987-04-01","Bulgaria","Republic of Ireland",2,1,"UEFA Euro qualification","Sofia","Bulgaria",false,"Bulgaria",0
"1987-04-01","Northern Ireland","England",0,2,"UEFA Euro qualification","Belfast","Northern Ireland",false,"England",0
"1987-04-01","Wales","Finland",4,0,"UEFA Euro qualification","Wrexham","Wales",false,"Wales",0
"1987-04-12","Poland","Cyprus",0,0,"UEFA Euro qualification","Gdańsk","Poland",false,"draw",1
"1987-04-15","Switzerland","Malta",4,1,"UEFA Euro qualification","Neuchâtel","Switzerland",false,"Switzerland",0
"1987-04-29","Albania","Austria",0,1,"UEFA Euro qualification","Tirana","Albania",false,"Austria",0
"1987-04-29","Finland","Denmark",0,1,"UEFA Euro qualification","Helsinki","Finland",false,"Denmark",0
"1987-04-29","France","Iceland",2,0,"UEFA Euro qualification","Paris","France",false,"France",0
"1987-04-29","Greece","Poland",1,0,"UEFA Euro qualification","Athens","Greece",false,"Greece",0
"1987-04-29","Republic of Ireland","Belgium",0,0,"UEFA Euro qualification","Dublin","Republic of Ireland",false,"draw",1
"1987-04-29","Netherlands","Hungary",2,0,"UEFA Euro qualification","Rotterdam","Netherlands",false,"Netherlands",0
"1987-04-29","Romania","Spain",3,1,"UEFA Euro qualification","Bucharest","Romania",false,"Romania",0
"1987-04-29","Turkey","England",0,0,"UEFA Euro qualification","İzmir","Turkey",false,"draw",1
"1987-04-30","Luxembourg","Bulgaria",1,4,"UEFA Euro qualification","Luxembourg","Luxembourg",false,"Bulgaria",0
"1987-05-17","Hungary","Poland",5,3,"UEFA Euro qualification","Budapest","Hungary",false,"Hungary",0
"1987-05-20","Bulgaria","Luxembourg",3,0,"UEFA Euro qualification","Sofia","Bulgaria",false,"Bulgaria",0
"1987-05-23","Scotland","England",0,0,"Rous Cup","Glasgow","Scotland",false,"draw",1
"1987-05-24","Sweden","Malta",1,0,"UEFA Euro qualification","Gothenburg","Sweden",false,"Sweden",0
"1987-05-28","Luxembourg","Republic of Ireland",0,2,"UEFA Euro qualification","Luxembourg","Luxembourg",false,"Republic of Ireland",0
"1987-05-28","Norway","Italy",0,0,"Friendly","Oslo","Norway",false,"draw",1
"1987-06-03","Sweden","Italy",1,0,"UEFA Euro qualification","Solna","Sweden",false,"Sweden",0
"1987-06-16","Norway","France",2,0,"UEFA Euro qualification","Oslo","Norway",false,"Norway",0
"1987-06-17","Switzerland","Sweden",1,1,"UEFA Euro qualification","Lausanne","Switzerland",false,"draw",1
"1987-08-12","Norway","Sweden",0,0,"Friendly","Oslo","Norway",false,"draw",1
"1987-08-18","Switzerland","Austria",2,2,"Friendly","St. Gallen","Switzerland",false,"draw",1
"1987-08-26","Sweden","Denmark",1,0,"Friendly","Solna","Sweden",false,"Sweden",0
"1987-09-02","Poland","Romania",3,1,"Friendly","Bydgoszcz","Poland",false,"Poland",0
"1987-09-09","Iceland","Norway",2,1,"UEFA Euro qualification","Reykjavík","Iceland",false,"Iceland",0
